profile_id,prism_replicate,perturbation_well,culture,perturbation_type,dose,broad_id,name,compound_plate,rep,screen
PREP049_PR500_120H_X1_P6:A02,PREP049_PR500_120H_X1_P6,A02,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:A09,PREP049_PR500_120H_X1_P6,A09,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:A10,PREP049_PR500_120H_X1_P6,A10,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:A11,PREP049_PR500_120H_X1_P6,A11,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:A18,PREP049_PR500_120H_X1_P6,A18,PR500A,NA,NA,NA,NA,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:A22,PREP049_PR500_120H_X1_P6,A22,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:B01,PREP049_PR500_120H_X1_P6,B01,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:B15,PREP049_PR500_120H_X1_P6,B15,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:C08,PREP049_PR500_120H_X1_P6,C08,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:C20,PREP049_PR500_120H_X1_P6,C20,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:D13,PREP049_PR500_120H_X1_P6,D13,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:D16,PREP049_PR500_120H_X1_P6,D16,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:E05,PREP049_PR500_120H_X1_P6,E05,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:E06,PREP049_PR500_120H_X1_P6,E06,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:E11,PREP049_PR500_120H_X1_P6,E11,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:E19,PREP049_PR500_120H_X1_P6,E19,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:F02,PREP049_PR500_120H_X1_P6,F02,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:F06,PREP049_PR500_120H_X1_P6,F06,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:F12,PREP049_PR500_120H_X1_P6,F12,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:G03,PREP049_PR500_120H_X1_P6,G03,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:G04,PREP049_PR500_120H_X1_P6,G04,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:G07,PREP049_PR500_120H_X1_P6,G07,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:G09,PREP049_PR500_120H_X1_P6,G09,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:G15,PREP049_PR500_120H_X1_P6,G15,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:H08,PREP049_PR500_120H_X1_P6,H08,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:H20,PREP049_PR500_120H_X1_P6,H20,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:H23,PREP049_PR500_120H_X1_P6,H23,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:I08,PREP049_PR500_120H_X1_P6,I08,PR500A,trt_poscon,20,BRD-K88510285-001-37-6,Bortezomib,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:I09,PREP049_PR500_120H_X1_P6,I09,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
PREP049_PR500_120H_X1_P6:I24,PREP049_PR500_120H_X1_P6,I24,PR500A,ctl_vehicle,2.5,DMSO,DMSO,PREP049,X1,REP1M
