column_name,broad_id,dose,perturbation_type,screen_id,detection_plate,compound_plate,well,name,moa,target,disease.area,indication,smiles,phase
PROS001_PR500_120H_X1_P4:A01::MTS010,BRD-K36788280-001-01-2,0.15625,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A01,ribociclib,CDK inhibitor,"CDK4, CDK6",oncology,breast cancer,"CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1, CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1, CN(C)C(=O)c1cc2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n1C1CCCC1",Launched
PROS001_PR500_120H_X1_P4:A02::MTS010,BRD-K88510285-001-50-9,20.0007,positive_control,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A02,NA,NA,NA,NA,NA,NA,NA
PROS001_PR500_120H_X1_P4:A03::MTS010,BRD-K88560311-011-06-3,0.00977,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A03,rucaparib,PARP inhibitor,"PARP1, PARP2",,,"CNCc1ccc(cc1)-c1[nH]c2cc(F)cc3C(=O)NCCc1c23, CNCc1ccc(cc1)-c1[nH]c2cc(F)cc3C(=O)NCCc1c23",Phase 3
PROS001_PR500_120H_X1_P4:A04::MTS010,BRD-K99749624-001-07-0,0.0391,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A04,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK",,,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1,Phase 3
PROS001_PR500_120H_X1_P4:A05::MTS010,BRD-K85402309-043-01-9,6.1e-4,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A05,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB",,,"CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O, CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O, CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O, CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O, CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O, CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O",Phase 3
PROS001_PR500_120H_X1_P4:A06::MTS010,BRD-K50168500-001-07-9,10,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A06,canertinib,EGFR inhibitor,"AKT1, EGFR, ERBB2, ERBB4",,,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl,Phase 3
PROS001_PR500_120H_X1_P4:A07::MTS010,BRD-K64881305-001-03-7,2.5,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A07,ispinesib,kinesin inhibitor,KIF11,,,"CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1, CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1, CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1",Phase 2
PROS001_PR500_120H_X1_P4:A08::MTS010,BRD-K64881305-001-03-7,10,experimental_treatment,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A08,ispinesib,kinesin inhibitor,KIF11,,,"CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1, CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1, CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1",Phase 2
PROS001_PR500_120H_X1_P4:A09::MTS010,,NA,vehicle_control,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A09,NA,NA,NA,NA,NA,NA,NA
PROS001_PR500_120H_X1_P4:A10::MTS010,,NA,vehicle_control,MTS010,PROS001_PR500_120H_X1_P4,PROS001_PR500,A10,NA,NA,NA,NA,NA,NA,NA
