BRD-K62008436-001-22-1::2.5::HTS	168.09257006645203s
BRD-K98557884-001-01-6::2.5::MTS004	157.84323000907898s
BRD-K99077012-001-01-9::2.332734192::MTS004	163.61810088157654s
BRD-K99199077-001-16-1::2.603211317::MTS004	213.11678290367126s
BRD-K99431849-001-01-7::2.500018158::MTS004	229.13056778907776s
BRD-A00077618-236-07-6::2.5::HTS	171.62417793273926s
BRD-A00758722-001-04-9::2.5::HTS	248.94184398651123s
SVD_BRD-K62008436-001-22-1::2.5::HTS	2.885967254638672s
SVD_BRD-A00077618-236-07-6::2.5::HTS	2.882017135620117s
SVD_BRD-K62008436-001-22-1::2.5::HTS	5.39104700088501s
SVD_BRD-A00077618-236-07-6::2.5::HTS	5.439316987991333s
SVD_BRD-A00758722-001-04-9::2.5::HTS	5.530476093292236s
SVD_BRD-K62008436-001-22-1::2.5::HTS	6.070544242858887s
SVD_BRD-A30403214-001-03-3::0.25::HTS	9.8542320728302s
SVD_BRD-A68281735-001-18-6::0.25::HTS	10.850204944610596s
SVD_BRD-A72716251-001-01-5::0.91::HTS	11.817387104034424s
SVD_BRD-A00077618-236-07-6::2.5::HTS	8.441689014434814s
SVD_BRD-A00758722-001-04-9::2.5::HTS	9.058019161224365s
SVD_BRD-A30403214-001-03-3::0.25::HTS	8.879127025604248s
SVD_BRD-A68281735-001-18-6::0.25::HTS	9.658307075500488s
SVD_BRD-A72716251-001-01-5::0.91::HTS	10.286220073699951s
SVD_BRD-K62008436-001-22-1::2.5::HTS	8.661240100860596s
